Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=69.39242553710938, done=False
[DEBUG _on_step] timestep=96, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=70.28983306884766, done=False
[DEBUG _on_step] timestep=97, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=71.21221160888672, done=False
[DEBUG _on_step] timestep=98, rewards=[0.9679844], dones=[False]
[DEBUG] Env 0: reward=0.9679843783378601, accumulated=72.1801986694336, done=False
[DEBUG _on_step] timestep=99, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=73.10586547851562, done=False
[DEBUG _on_step] timestep=100, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=74.0032730102539, done=False
[DEBUG _on_step] timestep=101, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=74.86176300048828, done=False
[DEBUG _on_step] timestep=102, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=75.75917053222656, done=False
[DEBUG _on_step] timestep=103, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=76.65657806396484, done=False
[DEBUG _on_step] timestep=104, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=77.55398559570312, done=False
[DEBUG _on_step] timestep=105, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=78.4124755859375, done=False
[DEBUG _on_step] timestep=106, rewards=[0.8584903], dones=[False]
[DEBUG] Env 0: reward=0.8584902882575989, accumulated=79.27096557617188, done=False
[DEBUG _on_step] timestep=107, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=80.08515930175781, done=False
[DEBUG _on_step] timestep=108, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=80.89935302734375, done=False
[DEBUG _on_step] timestep=109, rewards=[0.7675672], dones=[False]
[DEBUG] Env 0: reward=0.7675672173500061, accumulated=81.66692352294922, done=False
[DEBUG _on_step] timestep=110, rewards=[0.814191], dones=[False]
[DEBUG] Env 0: reward=0.8141909837722778, accumulated=82.48111724853516, done=False
[DEBUG _on_step] timestep=111, rewards=[0.7675672], dones=[False]
[DEBUG] Env 0: reward=0.7675672173500061, accumulated=83.24868774414062, done=False
[DEBUG _on_step] timestep=112, rewards=[0.71977687], dones=[False]
[DEBUG] Env 0: reward=0.7197768688201904, accumulated=83.96846771240234, done=False
[DEBUG _on_step] timestep=113, rewards=[0.7675672], dones=[False]
[DEBUG] Env 0: reward=0.7675672173500061, accumulated=84.73603820800781, done=False
[DEBUG _on_step] timestep=114, rewards=[0.7675672], dones=[False]
